Регион,Индекс цен на вторичном рынке для всех типов квартир за I квартал,Индекс цен на вторичном рынке для низкого качества за I квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за I квартал,Индекс цен на вторичном рынке для улучшенного качества за I квартал,Индекс цен на вторичном рынке для элитного качества за I квартал,Индекс цен на вторичном рынке для всех типов квартир за II квартал,Индекс цен на вторичном рынке для низкого качества за II квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за II квартал,Индекс цен на вторичном рынке для улучшенного качества за II квартал,Индекс цен на вторичном рынке для элитного качества за II квартал,Индекс цен на вторичном рынке для всех типов квартир за IV квартал,Индекс цен на вторичном рынке для низкого качества за IV квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на вторичном рынке для улучшенного качества за IV квартал,Индекс цен на вторичном рынке для элитного качества за IV квартал,Индекс цен на вторичном рынке для всех типов квартир за период с начала года,Индекс цен на вторичном рынке для низкого качества за период с начала года,Индекс цен на вторичном рынке для среднего качества (типовые) за период с начала года,Индекс цен на вторичном рынке для улучшенного качества за период с начала года,Индекс цен на вторичном рынке для элитного качества за период с начала года
Сибирский федеральный округ,110.53,107.47,111.72,109.38,108.84,102.64,101.91,102.46,102.98,101.85,101.51,100.65,101.54,101.13,106.82,102.44,105.68,102.75,101.57,105.82
Республика Алтай,104.63,,104.63,,,110.17,,110.17,,,109.11,,109.11,,,100.27,,100.27,,
Республика Тыва,101.12,100.41,101.01,101.4,100,99.73,100,99.33,100,100,103.96,100,102.27,106.15,100,105.02,100,105.85,105.43,100
Республика Хакасия,113.84,,102.32,115.28,,99.81,,100.19,99.77,,105.69,,100.62,106.26,,99.71,,100.44,99.63,
Алтайский край,114.79,109.2,117.27,106.79,115.91,103.68,99.74,102.2,112.19,100,95.53,100,93.8,96.97,102.94,104.05,106.06,103.19,102.15,112.38
Красноярский край,103.91,102.97,104.53,103.09,108.94,102.04,99.43,103.04,101.16,101.35,103.27,98.44,102.54,104.51,101.66,103.66,102.28,105.12,102.08,105.05
Иркутская область,104.01,100,104.21,103.62,100,101.71,100,102.09,100.63,100,100.71,100,101.2,99.2,100,100.27,100,99.77,101.89,100
Кемеровская область - Кузбасс,131.96,117.87,129.39,139.31,107.74,103.8,104.31,104.58,102.72,103.53,98.67,93.93,98.93,98.4,103.85,106.39,105.68,106.68,106.25,103.38
Новосибирская область,105.96,100,110.27,99.78,100,102.03,100,100.13,105.08,100,102.86,109,105.25,99.17,110,101.78,100,103.26,99.4,100
Омская область,107.08,105.9,108.06,106.31,104.39,103.14,101.92,102.95,103.38,104.82,107.71,106.75,105.69,109.15,117.65,103.53,110.14,102.82,103.79,101.37
Томская область,105.42,101.57,106.44,105.17,100.68,102.05,102.68,101.35,102.44,100,100.41,100.33,102.54,99.28,100,99.28,100.19,98,99.93,100
Дальневосточный федеральный округ,103.92,97.07,103.64,105.79,99.94,99.32,107.61,99.22,98.36,99.92,100.79,95.46,100.99,101.09,101.83,102.17,106.47,101.62,102.86,99.57
Республика Бурятия,103.85,100,102.5,105.91,,101.21,119.01,101.13,100.38,,102.7,100,102.37,103.31,,102.0,108.26,101.42,102.38,
Республика Саха (Якутия),100.34,90.6,100.5,97.85,,100.06,100,100.06,100,,100.05,100,100.05,100.1,,111.76,100,112.41,98.93,
Забайкальский край,102.93,,105,100.18,,100.9,,101.24,100.42,,99.23,,97.69,101.41,,99.45,,98.92,100.18,
Камчатский край,108.76,100.76,102.13,112.53,,95.3,100.25,99.58,93.11,,104.6,100,97.35,108.17,,99.64,100.06,110.76,95.34,
Приморский край,105.87,100.99,105.32,108.79,98.33,100.55,108.08,100.8,98.3,99.74,102.13,100.16,102.39,102.6,101.28,97.96,100.35,92.03,102.41,98.62
Хабаровский край,103.67,93.45,103.2,106.52,100.23,95.25,107.9,92.7,96.21,100,100.53,90.38,103.46,98.55,102.82,102.86,113.25,99.53,105.74,100
Амурская область,107.86,98.5,107.59,109.53,,102.08,98.05,102.43,100.28,,102.72,100,102.55,103.67,,96.86,100,96.68,97.78,
Магаданская область,103.8,,108.31,100.83,,105.5,,97.03,111.47,,104.63,,112.4,99.86,,108.72,,102.98,112.68,
Сахалинская область,103.38,101,104.21,100.82,101.1,103.01,100,104,100,100,96.77,100.31,95.57,100.15,101.41,98.72,100,98.3,100,100
Еврейская автономная область,104.94,,105.22,100,,103.12,,103.29,100,,106.98,,107.26,101.71,,106.37,,106.69,100,
nan,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,низкого качества,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры
Российская Федерация,106.51,106.61,105.92,107.32,106.53,108.6,109.34,106.87,109.99,114.56,110.09,107.14,108.36,111.69,117.37,111.83,107.39,110.42,113.31,118.28
Центральный федеральный округ,105.65,112.84,105.94,104.16,108.3,108.45,114.01,107.74,105.87,118.1,109.44,112.38,109.1,106.51,119.89,111.14,115.09,110.85,108.06,121.74
Белгородская область,107.83,,105.91,109.44,,110.13,,106.12,113.52,,102.88,,103.15,102.66,,105.11,,101.78,107.92,
Брянская область,107.4,110.22,105.25,113.63,,107.59,110.22,105.19,114.71,,108.95,110.22,107.41,113.65,,110.07,110.22,108.32,115.84,
Владимирская область,107.3,,101.64,112.55,100,110.67,,108.69,112.64,100,110.41,,104.63,115.77,103,114.28,,108.96,119.28,103
