Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Республика Тыва,105.66,106.16,101.02,,104.73,105.44,97.9,,105.57,105.86,102.52,,95.83,95.34,101.17,
Республика Хакасия,100.07,103.9,97.88,,101.38,101.09,101.56,,102.57,99.51,104.43,,105.97,108.24,104.66,
Алтайский край,102.64,101.44,103.35,108.67,103.99,104.69,103.32,103.15,104.18,103.29,104.94,106.42,107.79,109.74,106.01,104.6
Красноярский край,101.87,101.81,101.88,101.85,102.64,101.24,102.88,102.23,105.06,106.75,104.47,107.79,106.2,106.49,106.06,106.86
Иркутская область,98.48,98.92,98.27,,103.02,101.81,103.58,,101.77,103.25,101.09,,104.27,102.44,105.12,
Кемеровская область - Кузбасс,101.22,100.48,101.72,,100.45,100.43,100.46,,102.72,101.64,103.43,,100.47,102.35,99.24,
Новосибирская область,112.77,112.44,114.27,108.95,99.79,104.05,93.23,100.46,101.43,102.17,100.11,101.81,104.59,103.44,105.39,108.9
Омская область,104.48,109.0,100.78,104.4,100.73,102.47,99.09,102.37,105.29,103.7,107.12,99.9,105.46,105.13,105.77,105.41
Томская область,100.48,99.81,100.6,100.0,99.98,98.34,100.19,108.98,105.02,103.02,105.38,103.72,106.74,102.09,107.63,97.21
Дальневосточный федеральный округ,101.44,100.29,102.21,100.4,100.86,102.28,99.98,98.72,103.46,102.17,104.33,102.64,102.03,101.66,102.24,103.44
Республика Бурятия,104.88,103.8,105.81,,100.2,101.18,99.38,,99.42,102.67,96.65,,102.9,104.87,101.11,
Республика Саха (Якутия),99.49,99.03,101.33,,101.04,101.21,100.41,,102.12,101.25,105.59,,98.86,100.18,93.81,
Забайкальский край,103.71,,103.71,,98.63,,98.63,,105.29,,105.29,,105.1,,105.1,
Камчатский край,104.57,100.0,106.33,,101.88,100.0,102.56,,101.95,100.0,102.64,,101.25,104.86,100.0,
Приморский край,100.53,100.98,100.37,99.96,99.48,104.52,97.42,101.42,105.54,100.96,107.68,98.21,100.58,99.61,100.92,103.54
Хабаровский край,101.15,98.4,102.54,100.8,101.82,100.29,102.83,94.54,102.6,100.91,103.27,106.46,102.96,100.0,104.34,102.29
Амурская область,101.08,100.67,102.79,100.87,103.13,103.32,102.16,112.05,102.81,101.91,106.31,110.15,105.54,104.48,109.56,111.28
Магаданская область,99.97,99.97,,,100.39,100.39,,,100.0,100.0,,,100.13,100.13,,
Сахалинская область,103.23,101.52,103.48,,102.68,99.73,103.1,,103.05,132.99,98.89,,101.0,103.52,100.53,
Еврейская автономная область,107.96,,107.96,,107.82,,107.82,,103.99,,103.99,,119.21,,119.21,
Чукотский автономный округ,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,
Российская Федерация,99.41,99.45,99.21,101.1,100.67,100.16,100.79,102.39,104.79,103.13,105.76,104.9,109.68,106.83,111.56,107.98
Центральный федеральный округ,98.23,99.75,97.45,100.89,100.88,100.91,100.51,102.76,107.16,104.82,108.21,103.87,112.56,110.24,114.46,104.79
Белгородская область,100.2,100.84,99.99,,99.58,96.84,100.47,,103.72,107.07,102.64,,105.75,108.95,104.72,
Брянская область,98.48,98.17,99.24,93.72,98.94,99.45,97.68,93.75,100.17,100.39,99.64,94.15,104.23,105.06,102.22,94.85
Владимирская область,102.04,102.26,101.99,,103.12,105.55,102.47,,106.47,105.93,106.61,,111.32,115.27,110.27,
Воронежская область,100.44,102.1,99.48,101.93,102.87,104.34,102.02,104.41,106.41,107.1,106.02,106.54,111.93,112.52,111.59,112.72
Ивановская область,101.74,103.68,101.32,,103.88,106.6,103.3,,106.74,107.26,106.64,,109.64,108.53,109.88,
Калужская область,104.05,107.92,100.81,100.0,105.54,108.03,103.51,93.45,109.82,105.76,113.3,100.0,112.22,111.04,113.28,100.0
Костромская область,98.1,100.0,97.99,,100.68,120.82,99.59,,101.1,122.48,99.95,,105.3,125.9,104.19,
Курская область,97.18,,97.13,99.72,96.34,,96.2,103.54,99.52,,99.42,104.3,106.03,,106.03,106.14
Липецкая область,100.81,100.34,101.06,,101.49,100.6,101.95,,102.08,100.82,102.73,,104.47,106.28,103.53,
Московская область,96.91,98.98,95.93,100.0,98.04,95.29,99.34,100.0,106.01,103.54,107.18,100.0,116.03,114.6,116.73,100.0
Орловская область,101.24,103.0,101.11,103.57,102.11,104.72,102.15,99.64,106.7,108.53,106.64,107.3,109.34,129.54,109.19,102.07
Рязанская область,95.99,97.2,95.9,,97.46,100.57,97.21,,98.92,100.85,98.77,,104.35,102.58,104.5,
Смоленская область,102.79,104.35,102.12,,107.05,105.55,107.7,,110.55,108.32,111.51,,119.41,117.76,120.11,
Тамбовская область,104.41,105.15,103.88,102.0,110.53,105.91,113.39,107.1,107.14,104.85,108.52,107.1,110.67,109.04,111.58,110.31
Тверская область,104.06,,104.04,104.92,101.46,,101.34,105.64,101.5,,101.45,103.42,107.96,,107.94,108.58
Тульская область,95.13,95.35,94.76,100.73,98.48,96.64,99.04,96.14,100.42,96.61,101.72,93.12,96.14,96.61,96.11,94.74
Ярославская область,100.82,100.25,101.14,100.0,98.22,100.28,97.09,100.0,106.2,100.9,109.09,108.0,107.29,103.24,109.5,108.0
Город Москва столица Российской Федерации город федерального значения,97.75,97.0,96.93,100.88,101.1,101.0,100.64,102.79,108.45,105.84,109.94,103.9,113.79,108.91,116.69,104.81
Северо-Западный федеральный округ,96.45,96.3,96.73,96.52,95.12,95.43,94.91,91.08,96.98,97.17,96.96,93.47,100.91,101.48,100.21,96.86
Республика Карелия,99.71,102.91,99.35,,103.31,103.77,103.26,,107.71,105.22,107.99,,109.64,110.83,109.51,
Республика Коми,96.35,,96.35,,97.94,,97.94,,108.54,,108.54,,121.93,,121.93,
Архангельская область,99.82,100.4,99.71,105.31,103.84,103.49,103.88,106.02,108.09,108.63,108.03,106.06,110.65,109.74,110.8,106.23
Ненецкий автономный округ (Архангельская область),100.0,,100.0,,100.0,,100.0,,118.84,,118.84,,118.84,,118.84,
Архангельская область (кроме Ненецкого автономного округа),99.8,100.4,99.67,105.31,104.31,103.49,104.42,106.02,106.78,108.63,106.51,106.06,109.66,109.74,109.67,106.23
Вологодская область,98.7,98.06,101.03,107.92,99.41,98.92,100.73,114.36,101.86,101.52,102.35,118.96,103.27,101.69,108.92,127.92
Калининградская область,99.71,102.1,97.93,100.41,99.01,101.71,96.96,100.58,101.28,101.86,100.82,102.19,104.68,106.06,103.91,100.15
Ленинградская область,97.35,90.01,97.95,,90.93,84.91,91.43,,92.07,85.39,92.61,,94.02,96.33,93.83,
Новгородская область,100.47,100.8,100.08,,103.08,103.8,102.26,,105.03,104.96,105.11,,109.4,106.49,112.7,
Псковская область,101.07,100.66,102.88,,102.27,102.08,103.12,,103.74,103.29,105.73,,107.26,107.38,106.74,
Город Санкт-Петербург город федерального значения,95.8,96.02,94.93,96.28,94.56,95.01,93.69,90.55,96.2,96.77,94.77,92.94,100.41,101.2,98.36,96.46
Южный федеральный округ,100.15,101.35,99.28,100.16,100.99,100.42,101.41,99.82,103.36,104.06,102.8,106.33,106.35,107.52,105.41,111.85
Республика Адыгея (Адыгея),102.16,102.38,101.84,,103.42,97.91,111.07,,101.13,100.99,101.31,,106.58,108.02,104.57,
Республика Калмыкия,104.59,108.18,98.86,,107.0,112.66,97.99,,111.92,118.77,101.0,,112.76,118.77,103.2,
Республика Крым,100.07,99.27,101.89,100.0,101.39,102.52,98.85,100.0,102.67,102.95,102.09,100.0,106.45,105.07,109.69,100.0
Краснодарский край,99.46,101.82,97.04,100.0,99.36,99.05,99.72,84.11,102.03,102.89,101.18,89.46,104.52,106.25,102.75,101.79
Астраханская область,105.56,100.14,106.2,,107.5,100.17,108.37,,108.51,100.32,109.47,,108.27,101.18,109.1,
Волгоградская область,100.42,98.9,101.77,101.08,103.54,102.93,104.42,100.37,106.89,107.94,106.19,104.19,113.23,114.91,112.04,109.63
Ростовская область,101.0,103.05,100.61,98.71,102.89,106.68,102.09,103.51,104.7,110.39,103.36,115.28,107.99,112.64,106.86,119.37
Город федерального значения Севастополь,92.03,91.25,100.21,,93.13,92.56,99.08,,92.94,92.29,99.71,,91.92,90.96,101.84,
Северо-Кавказский федеральный округ,98.43,97.31,101.5,100.2,99.24,97.83,103.05,102.49,100.44,98.68,105.43,101.11,102.19,100.22,107.68,104.04
Республика Дагестан,103.15,106.21,102.17,,103.75,107.17,102.66,,105.97,109.36,104.88,,109.68,109.53,109.73,
Республика Ингушетия,100.01,100.02,100.01,100.01,100.68,100.72,100.02,100.63,102.42,102.51,102.55,102.02,103.38,103.46,102.85,103.16
Кабардино-Балкарская Республика,102.13,100.7,105.05,,106.56,103.26,113.28,,107.61,103.26,116.47,,110.15,104.99,120.65,
Карачаево-Черкесская Республика,101.67,100.0,102.82,100.0,101.89,100.74,102.73,100.0,102.98,100.74,104.56,100.0,104.57,105.06,104.56,100.0
Республика Северная Осетия-Алания,103.01,105.25,101.96,100.0,104.71,105.89,104.33,100.37,108.29,111.17,107.18,100.37,110.84,117.31,107.89,100.37
Чеченская Республика,100.39,100.36,100.45,100.01,100.83,100.87,100.9,100.02,103.18,101.44,104.87,100.05,103.95,101.98,105.9,100.05
Ставропольский край,96.98,96.35,100.76,100.52,97.56,96.79,101.92,106.08,98.22,97.34,103.53,101.97,99.75,98.62,106.29,109.32
Приволжский федеральный округ,99.98,100.59,99.49,101.51,101.67,102.93,100.74,103.7,105.71,107.13,104.72,106.66,111.08,109.38,112.01,114.26
Республика Башкортостан,97.01,96.25,97.58,100.06,98.09,96.89,98.93,103.33,102.23,101.78,102.51,104.56,106.98,106.6,107.32,107.8
Республика Марий Эл,104.03,104.1,104.01,,108.21,115.78,105.9,,115.14,120.24,113.58,,127.81,128.17,127.7,
Республика Мордовия,102.41,100.97,102.67,,105.54,107.2,105.24,,107.33,109.11,107.01,,111.4,99.27,113.62,
Республика Татарстан (Татарстан),99.39,102.3,96.29,99.81,101.61,105.6,97.31,102.94,106.19,110.08,102.0,107.52,108.17,105.39,110.82,115.84
Удмуртская Республика,95.41,97.45,94.93,100.04,96.57,101.61,95.57,101.98,97.71,99.7,97.18,104.17,102.09,102.3,101.97,105.11
Чувашская Республика - Чувашия,102.73,102.03,103.63,98.05,107.56,106.97,108.54,100.51,112.25,113.54,111.71,104.41,123.06,121.76,124.78,113.71
Пермский край,102.89,100.68,103.8,101.97,104.7,101.11,106.09,104.65,108.63,103.58,110.49,110.02,113.14,106.99,115.1,119.83
Кировская область,102.58,104.87,101.45,107.68,105.08,107.34,104.09,107.66,109.45,110.91,108.75,112.43,119.63,117.54,120.66,114.74
Нижегородская область,100.38,100.43,100.12,102.88,101.29,103.15,100.16,107.03,104.54,105.14,103.9,109.15,113.29,111.21,112.81,124.87
Оренбургская область,100.88,100.92,100.85,,102.17,102.06,102.25,,110.55,110.17,110.81,,114.46,112.53,115.77,
Пензенская область,100.12,89.37,100.36,101.6,101.48,101.62,101.44,102.56,107.68,106.64,107.93,100.87,109.59,112.76,109.64,105.47
Самарская область,101.65,101.87,101.4,102.64,101.91,101.95,102.14,98.31,105.46,106.24,105.13,101.55,113.14,113.2,113.86,102.64
Саратовская область,100.33,100.34,100.14,100.0,100.84,100.81,102.93,100.0,104.82,104.65,108.38,108.61,110.23,110.29,108.97,108.61
Ульяновская область,101.47,101.05,101.74,,102.84,105.93,100.87,,106.17,110.54,103.37,,114.14,123.35,108.23,
Уральский федеральный округ,102.53,100.74,102.92,105.68,104.09,102.27,104.36,109.72,109.11,106.95,108.91,125.95,116.75,110.52,117.45,140.33
Курганская область,103.19,105.27,100.44,,108.2,106.36,110.63,,118.96,116.93,121.63,,129.24,128.59,130.11,
Свердловская область,101.88,100.35,102.21,101.01,103.2,101.16,103.25,107.19,107.84,104.2,106.95,128.0,116.49,108.54,115.88,142.86
Тюменская область,103.07,100.33,103.67,115.33,103.73,102.6,103.81,114.89,108.15,106.72,108.32,119.81,114.0,109.08,115.14,133.37
Ханты-Мансийский автономный округ - Югра (Тюменская область),101.19,102.15,100.97,,96.49,104.28,94.74,,99.37,110.56,96.86,,104.32,112.8,102.41,
Ямало-Ненецкий автономный округ (Тюменская область),99.83,99.74,100.89,,102.89,103.06,100.82,,101.42,101.5,100.48,,101.66,101.67,101.62,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),103.61,100.11,104.33,115.33,105.34,102.24,106.0,114.89,110.33,106.87,111.12,119.81,116.59,109.58,118.26,133.37
Челябинская область,102.87,100.26,103.55,122.39,107.25,101.26,109.93,118.98,113.88,107.01,117.07,124.13,123.23,108.78,130.22,136.31
Сибирский федеральный округ,104.32,106.3,102.97,105.64,105.79,109.52,103.34,107.4,109.44,112.59,107.24,112.24,115.27,118.05,113.09,120.35
Республика Алтай,102.44,102.53,100.0,,112.25,112.68,100.0,,111.79,112.03,105.0,,136.5,136.5,136.36,
Республика Тыва,105.66,106.16,101.02,,110.66,111.94,98.9,,116.82,118.5,101.4,,111.95,112.97,102.58,
Республика Хакасия,100.07,103.9,97.88,,101.45,105.03,99.4,,104.06,104.51,103.8,,110.27,113.12,108.64,
Алтайский край,102.64,101.44,103.35,108.67,106.73,106.2,106.78,112.09,111.2,109.69,112.05,119.29,119.86,120.37,118.78,124.77
Красноярский край,101.87,101.81,101.88,101.85,104.56,103.07,104.81,104.12,109.84,110.02,109.49,112.23,116.65,117.17,116.13,119.93
Иркутская область,98.48,98.92,98.27,,101.45,100.72,101.79,,103.24,104.0,102.9,,107.65,106.53,108.16,
Кемеровская область - Кузбасс,101.22,100.48,101.72,,101.68,100.91,102.19,,104.44,102.57,105.7,,104.93,104.98,104.9,
Новосибирская область,112.77,112.44,114.27,108.95,112.53,116.99,106.53,109.46,114.14,119.52,106.65,111.44,119.38,123.63,112.39,121.36
Омская область,104.48,109.0,100.78,104.4,105.25,111.69,99.86,106.87,110.82,115.82,106.97,106.76,116.88,121.76,113.14,112.54
Томская область,100.48,99.81,100.6,100.0,100.46,98.15,100.79,108.98,105.5,101.11,106.21,113.04,112.62,103.23,114.32,109.89
Дальневосточный федеральный округ,101.44,100.29,102.21,100.4,102.31,102.58,102.19,99.12,105.85,104.8,106.61,101.73,108.0,106.54,109.0,105.23
Республика Бурятия,104.88,103.8,105.81,,105.1,105.03,105.16,,104.49,107.83,101.63,,107.52,113.08,102.75,
Республика Саха (Якутия),99.49,99.03,101.33,,100.53,100.23,101.75,,102.66,101.48,107.43,,101.49,101.67,100.78,
Забайкальский край,103.71,,103.71,,102.29,,102.29,,107.7,,107.7,,113.2,,113.2,
Камчатский край,104.57,100.0,106.33,,106.53,100.0,109.05,,108.61,100.0,111.93,,109.96,104.86,111.93,
Приморский край,100.53,100.98,100.37,99.96,100.01,105.55,97.77,101.38,105.55,106.56,105.28,99.57,106.17,106.14,106.25,103.09
Хабаровский край,101.15,98.4,102.54,100.8,102.99,98.69,105.44,95.29,105.67,99.59,108.88,101.45,108.79,99.59,113.61,103.77
Амурская область,101.08,100.67,102.79,100.87,104.25,104.02,105.01,113.03,107.18,106.01,111.63,124.49,113.12,110.76,122.31,138.53
Магаданская область,99.97,99.97,,,100.36,100.36,,,100.36,100.36,,,100.49,100.49,,
Сахалинская область,103.23,101.52,103.48,,106.0,101.24,106.69,,109.23,134.64,105.51,,110.33,139.38,106.07,
Еврейская автономная область,107.96,,107.96,,116.41,,116.41,,121.06,,121.06,,144.31,,144.31,
Чукотский автономный округ,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,
Российская Федерация,111.4,109.92,111.56,118.75,105.12,105.26,104.86,106.76,105.42,102.27,107.12,107.5,109.68,106.83,111.56,107.98
Центральный федеральный округ,108.23,99.95,107.48,122.32,103.82,104.52,103.19,106.52,108.19,99.63,109.69,109.21,112.56,110.24,114.46,104.79
