Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Российская Федерация,99.41,99.45,99.21,101.1,101.27,100.71,101.6,101.28,104.09,102.97,104.93,102.45,104.67,103.58,105.48,102.94
Центральный федеральный округ,98.23,99.75,97.45,100.89,102.69,101.17,103.14,101.86,106.22,103.87,107.66,101.08,105.04,105.18,105.77,100.89
Белгородская область,100.2,100.84,99.99,,99.39,96.04,100.48,,104.15,110.56,102.16,,101.96,101.76,102.03,
Брянская область,98.48,98.17,99.24,93.72,100.47,101.31,98.43,100.03,101.24,100.94,102.0,100.43,104.05,104.65,102.6,100.74
Владимирская область,102.04,102.26,101.99,,101.05,103.22,100.47,,103.25,100.36,104.04,,104.55,108.81,103.43,
Воронежская область,100.44,102.1,99.48,101.93,102.42,102.19,102.55,102.43,103.44,102.64,103.93,102.04,105.18,105.06,105.25,105.8
Ивановская область,101.74,103.68,101.32,,102.11,102.82,101.95,,102.76,100.61,103.23,,102.72,101.19,103.04,
Калужская область,104.05,107.92,100.81,100.0,101.44,100.1,102.68,93.45,104.05,97.9,109.45,107.01,102.19,104.99,99.99,100.0
Костромская область,98.1,100.0,97.99,,102.63,120.82,101.63,,100.42,101.37,100.36,,104.16,102.8,104.25,
Курская область,97.18,,97.13,99.72,99.14,,99.04,103.83,103.3,,103.35,100.74,106.55,,106.64,101.76
Липецкая область,100.81,100.34,101.06,,100.67,100.26,100.88,,100.58,100.22,100.77,,102.33,105.41,100.78,
Московская область,96.91,98.98,95.93,100.0,101.17,96.27,103.55,100.0,108.12,108.66,107.89,100.0,109.45,110.68,108.91,100.0
Орловская область,101.24,103.0,101.11,103.57,100.87,101.67,101.04,96.2,104.5,103.64,104.39,107.69,102.47,119.36,102.39,95.12
Рязанская область,95.99,97.2,95.9,,101.52,103.46,101.37,,101.5,100.28,101.61,,105.49,101.72,105.8,
Смоленская область,102.79,104.35,102.12,,104.15,101.16,105.47,,103.26,102.62,103.54,,108.01,108.72,107.71,
Тамбовская область,104.41,105.15,103.88,102.0,105.87,100.72,109.15,105.0,96.93,99.0,95.71,100.0,103.3,103.99,102.82,103.0
Тверская область,104.06,,104.04,104.92,97.5,,97.41,100.68,100.05,,100.11,97.9,106.36,,106.4,104.98
Тульская область,95.13,95.35,94.76,100.73,103.52,101.35,104.52,95.44,101.97,99.97,102.71,96.87,95.74,100.0,94.48,101.74
Ярославская область,100.82,100.25,101.14,100.0,97.41,100.03,95.99,100.0,108.13,100.62,112.36,108.0,101.02,102.32,100.37,100.0
Город Москва столица Российской Федерации город федерального значения,97.75,97.0,96.93,100.88,103.43,104.12,103.82,101.89,107.27,104.8,109.24,101.08,104.92,102.9,106.14,100.88
Северо-Западный федеральный округ,96.45,96.3,96.73,96.52,98.62,99.1,98.12,94.36,101.96,101.82,102.15,102.62,104.05,104.44,103.36,103.63
Республика Карелия,99.71,102.91,99.35,,103.61,100.84,103.94,,104.26,101.4,104.59,,101.8,105.33,101.4,
Республика Коми,96.35,,96.35,,101.65,,101.65,,110.82,,110.82,,112.33,,112.33,
Архангельская область,99.82,100.4,99.71,105.31,104.03,103.07,104.18,100.68,104.09,104.97,104.0,100.03,102.37,101.02,102.57,100.16
Ненецкий автономный округ (Архангельская область),100.0,,100.0,,100.0,,100.0,,118.84,,118.84,,100.0,,100.0,
Архангельская область (кроме Ненецкого автономного округа),99.8,100.4,99.67,105.31,104.52,103.07,104.77,100.68,102.37,104.97,102.0,100.03,102.7,101.02,102.97,100.16
Вологодская область,98.7,98.06,101.03,107.92,100.72,100.88,99.7,105.97,102.46,102.63,101.61,104.02,101.39,100.16,106.42,107.53
Калининградская область,99.71,102.1,97.93,100.41,99.29,99.61,99.01,100.17,102.3,100.15,103.97,101.6,103.35,104.12,103.07,98.0
Ленинградская область,97.35,90.01,97.95,,93.41,94.33,93.34,,101.25,100.57,101.3,,102.12,112.81,101.32,
Новгородская область,100.47,100.8,100.08,,102.6,102.97,102.18,,101.89,101.11,102.79,,104.16,101.46,107.22,
Псковская область,101.07,100.66,102.88,,101.19,101.41,100.23,,101.44,101.19,102.54,,103.4,103.96,100.95,
Город Санкт-Петербург город федерального значения,95.8,96.02,94.93,96.28,98.71,98.95,98.69,94.05,101.74,101.86,101.15,102.65,104.38,104.57,103.78,103.78
Южный федеральный округ,100.15,101.35,99.28,100.16,100.84,99.09,102.15,99.66,102.35,103.62,101.37,106.51,102.89,103.32,102.54,105.19
Республика Адыгея (Адыгея),102.16,102.38,101.84,,101.23,95.63,109.06,,97.79,103.15,91.22,,105.39,106.96,103.21,
Республика Калмыкия,104.59,108.18,98.86,,102.31,104.14,99.11,,104.59,105.42,103.08,,100.76,100.0,102.18,
Республика Крым,100.07,99.27,101.89,100.0,101.32,103.28,97.02,100.0,101.27,100.42,103.27,100.0,103.68,102.06,107.44,100.0
Краснодарский край,99.46,101.82,97.04,100.0,99.9,97.29,102.76,84.11,102.68,103.87,101.47,106.36,102.44,103.26,101.55,113.78
Астраханская область,105.56,100.14,106.2,,101.84,100.04,102.04,,100.93,100.15,101.02,,99.78,100.85,99.66,
Волгоградская область,100.42,98.9,101.77,101.08,103.1,104.08,102.6,99.3,103.23,104.86,101.69,103.81,105.94,106.46,105.51,105.22
Ростовская область,101.0,103.05,100.61,98.71,101.86,103.52,101.47,104.86,101.76,103.48,101.25,111.38,103.15,102.03,103.39,103.55
Город федерального значения Севастополь,92.03,91.25,100.21,,101.19,101.44,98.88,,99.8,99.71,100.63,,98.9,98.56,102.14,
Северо-Кавказский федеральный округ,98.43,97.31,101.5,100.2,100.82,100.53,101.53,102.29,101.21,100.87,102.31,98.65,101.74,101.56,102.13,102.9
Республика Дагестан,103.15,106.21,102.17,,100.58,100.9,100.48,,102.14,102.05,102.17,,103.5,100.16,104.62,
Республика Ингушетия,100.01,100.02,100.01,100.01,100.66,100.7,100.0,100.63,101.73,101.78,102.53,101.38,100.94,100.92,100.3,101.12
Кабардино-Балкарская Республика,102.13,100.7,105.05,,104.33,102.54,107.83,,100.99,100.0,102.82,,102.36,101.68,103.59,
Карачаево-Черкесская Республика,101.67,100.0,102.82,100.0,100.22,100.74,99.91,100.0,101.07,100.0,101.79,100.0,101.54,104.29,100.0,100.0
Республика Северная Осетия-Алания,103.01,105.25,101.96,100.0,101.65,100.61,102.33,100.37,103.41,104.99,102.73,100.0,102.36,105.53,100.66,100.0
Чеченская Республика,100.39,100.36,100.45,100.01,100.44,100.51,100.45,100.02,102.33,100.57,103.94,100.03,100.74,100.52,100.98,100.0
Ставропольский край,96.98,96.35,100.76,100.52,100.6,100.45,101.15,105.52,100.68,100.58,101.59,96.13,101.55,101.31,102.66,107.21
Приволжский федеральный округ,99.98,100.59,99.49,101.51,101.7,102.32,101.25,102.16,103.97,104.09,103.96,102.86,105.08,102.1,106.95,107.12
Республика Башкортостан,97.01,96.25,97.58,100.06,101.11,100.67,101.39,103.26,104.22,105.04,103.61,101.19,104.64,104.73,104.7,103.1
Республика Марий Эл,104.03,104.1,104.01,,104.01,111.22,101.81,,106.41,103.85,107.26,,111.0,106.59,112.43,
Республика Мордовия,102.41,100.97,102.67,,103.06,106.16,102.5,,101.7,101.78,101.68,,103.79,90.99,106.18,
Республика Татарстан (Татарстан),99.39,102.3,96.29,99.81,102.23,103.23,101.07,103.14,104.51,104.25,104.81,104.44,101.87,95.74,108.65,107.74
Удмуртская Республика,95.41,97.45,94.93,100.04,101.22,104.27,100.67,101.94,101.18,98.11,101.69,102.15,104.49,102.61,104.92,100.9
Чувашская Республика - Чувашия,102.73,102.03,103.63,98.05,104.7,104.84,104.74,102.5,104.36,106.15,102.93,103.89,109.64,107.24,111.7,108.9
Пермский край,102.89,100.68,103.8,101.97,101.76,100.43,102.21,102.63,103.75,102.44,104.15,105.14,104.15,103.3,104.17,108.91
Кировская область,102.58,104.87,101.45,107.68,102.44,102.35,102.6,99.98,104.17,103.33,104.48,104.43,109.3,105.98,110.95,102.06
Нижегородская область,100.38,100.43,100.12,102.88,100.9,102.7,100.03,104.03,103.2,101.93,103.74,101.98,108.38,105.77,108.58,114.39
Оренбургская область,100.88,100.92,100.85,,101.28,101.13,101.39,,108.2,107.95,108.38,,103.53,102.14,104.47,
Пензенская область,100.12,89.37,100.36,101.6,101.35,113.71,101.08,100.94,106.11,104.95,106.41,98.36,101.77,105.74,101.58,104.55
Самарская область,101.65,101.87,101.4,102.64,100.26,100.08,100.73,95.78,103.48,104.21,102.93,103.3,107.28,106.56,108.3,101.07
Саратовская область,100.33,100.34,100.14,100.0,100.51,100.47,102.78,100.0,103.94,103.81,105.3,108.61,105.16,105.39,100.55,100.0
Ульяновская область,101.47,101.05,101.74,,101.36,104.83,99.15,,103.23,104.36,102.48,,107.5,111.59,104.7,
Уральский федеральный округ,102.53,100.74,102.92,105.68,101.52,101.52,101.4,103.82,104.81,104.58,104.36,114.79,107.01,103.34,107.84,111.41
Курганская область,103.19,105.27,100.44,,104.86,101.04,110.14,,109.94,109.93,109.94,,108.65,109.97,106.98,
Свердловская область,101.88,100.35,102.21,101.01,101.3,100.8,101.02,106.12,104.5,103.01,103.58,119.42,108.01,104.16,108.35,111.6
Тюменская область,103.07,100.33,103.67,115.33,100.64,102.26,100.14,99.62,104.27,104.02,104.35,104.28,105.41,102.21,106.29,111.32
Ханты-Мансийский автономный округ - Югра (Тюменская область),101.19,102.15,100.97,,95.36,102.08,93.83,,102.99,106.02,102.24,,104.97,102.03,105.73,
Ямало-Ненецкий автономный округ (Тюменская область),99.83,99.74,100.89,,103.06,103.33,99.94,,98.57,98.48,99.66,,100.24,100.17,101.13,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),103.61,100.11,104.33,115.33,101.67,102.13,101.61,99.62,104.74,104.52,104.82,104.28,105.68,102.54,106.43,111.32
Челябинская область,102.87,100.26,103.55,122.39,104.26,100.99,106.16,97.22,106.19,105.68,106.5,104.33,108.21,101.65,111.23,109.81
Сибирский федеральный округ,104.32,106.3,102.97,105.64,101.42,103.04,100.36,101.67,103.45,102.8,103.78,104.5,105.33,104.85,105.46,107.22
Республика Алтай,102.44,102.53,100.0,,109.57,109.9,100.0,,99.59,99.42,105.0,,122.1,121.85,129.87,
