Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Российская Федерация,108.02,108.06,108.25,106.42,106.48,105.18,107.34,108.38,104.33,105.73,103.42,102.45,100.85,99.9,101.65,101.09
Центральный федеральный округ,107.9,110.18,108.1,105.34,106.92,98.1,107.6,113.03,102.31,107.22,102.03,99.19,102.3,96.06,103.71,103.61
Белгородская область,111.31,111.65,111.28,,105.02,99.57,105.54,,100.85,100.05,100.93,,101.19,100,101.29,
Брянская область,125.37,127.72,111.79,140,99.96,99.7,101.37,100,100.53,100.67,99.91,100,100.67,100.71,100.6,100
Владимирская область,114.42,116.17,114.22,,106.67,123.18,104.71,,102.76,100.84,103.03,,100.51,96.04,101.12,
Воронежская область,108.25,109.07,107.96,105.06,107.82,109.05,107.35,106.95,101.94,102.78,101.63,100,105.74,101.5,107.48,100
Ивановская область,104.31,,104.31,,103.06,,103.06,,99.35,,99.35,,100.45,,100.45,
Калужская область,107.24,105.68,107.86,102.19,123.3,123.19,123.65,100,101.21,93.55,103.7,116.53,98.45,105.75,96.15,100
Костромская область,104.13,,104.13,,105.4,,105.4,,104.45,,104.45,,106.37,,106.37,
Курская область,105.8,,105.8,,104.66,,104.66,,107.15,,107.15,,98.39,,98.39,
Липецкая область,115.9,100.11,117.95,104.14,103.56,101.64,103.68,107.92,101.61,125.13,99.1,115.13,102.33,105.09,102.26,88.8
Московская область,109.24,111.66,107.89,106.52,108.5,102.9,111.8,97.54,101.16,101.71,100.87,101.29,99.71,99.58,99.78,99.8
Орловская область,103.34,106.98,103.04,106.99,109.45,109.52,110.01,100.92,105.79,100,105.35,114.79,100.07,104.32,100.13,98.01
